,commune,ofs,population,superficie,densite,canton,pecc,details
11,Chêne-Bougeries,6612,13876,4.13,3360.0,Genève,Non,"La commune de Chêne-Bougeries ne dispose pas d’un PECC propre, mais s’est engagée dans la démarche Cité de l’énergie. Elle encourage les transports non motorisés (cheminements piétons améliorés, subsides à l’achat de vélos électriques pour les habitants) et a adopté un plan d’action pour la biodiversité urbaine (plantation de haies vives indigènes, fauchage tardif). En matière d’énergie, Chêne-Bougeries propose des subventions communales pour l’installation de pompes à chaleur et panneaux solaires, en complément des aides cantonales . L’ensemble de ces mesures appuie l’atteinte des cibles cantonales (-60% GES en 2030, neutralité en 2050)."
12,Chêne-Bourg,6613,9450,1.28,7383.0,Genève,Non,"Chêne-Bourg est certifiée Cité de l’énergie (67,9% des mesures accomplies lors du dernier audit) . La commune a mené diverses actions : développement d’un écoquartier autour de la nouvelle gare Léman Express (bâtiments à basse consommation, mobilité douce privilégiée), subventions pour l’assainissement énergétique des villas privées (isolation, chauffage renouvelable) et participation au programme SIG-éco21 pour réduire la consommation électrique locale. Chêne-Bourg a également adopté un règlement d’urbanisme intégrant la gestion des eaux pluviales et la plantation d’arbres en ville pour lutter contre les vagues de chaleur. Ces efforts locaux contribuent aux objectifs du Plan climat cantonal genevois"
13,Choulex,6614,1247,3.91,319.0,Genève,Non,"Pas de plan communal. Choulex, village viticole, concentre ses efforts sur l’agriculture durable et la préservation du paysage. La commune collabore avec les vignerons locaux pour promouvoir la viticulture biologique (réduction des intrants chimiques et de l’empreinte carbone du vignoble). Elle a installé une petite centrale solaire photovoltaïque sur le toit de son hangar communal pour alimenter en électricité le réseau local, et utilise un véhicule communal électrique pour les travaux communaux. Ces actions, bien que modestes, participent à la dynamique cantonale de réduction des émissions de GES à l’horizon 2030 et de neutralité en 2050"
14,Collex-Bossy,6615,1685,6.89,245.0,Genève,Non,"Pas de PECC. Collex-Bossy, commune semi-rurale, s’attache à une gestion durable de son patrimoine naturel. Elle a conclu un partenariat avec un exploitant agricole local pour développer une chaufferie bois communale qui valorise les résidus de bois des environs afin de chauffer l’école et le bâtiment administratif sans CO_ fossile. La commune a également rejoint le projet intercommunal de mobilité partagée en zone rurale, offrant à ses habitants un service de minibus à la demande et des stations de vélos électriques, réduisant ainsi la dépendance à la voiture individuelle. En modernisant ses infrastructures (par ex. éclairage LED, rénovation de la salle communale), Collex-Bossy contribue aux efforts de réduction des GES du canton"
15,Collonge-Bellerive,6616,8630,6.12,1410.0,Genève,Non,"Collonge-Bellerive a engagé une politique énergétique locale sans plan climat formel. La commune a instauré un programme de subventions 2023–2025 pour la transition énergétique, encourageant l’installation de panneaux solaires, de pompes à chaleur et le remplacement des chaudières fossiles . En collaboration avec SIG-éco21 et l’Office cantonal de l’énergie, elle propose aux ménages des audits énergétiques gratuits (programme “Visite Villa”) pour identifier les économies possibles . Côté mobilité, Collonge-Bellerive soutient le covoiturage communal et a aménagé de nouvelles bandes cyclables le long de la route du Lac. Ces mesures vont dans le sens des objectifs cantonaux (-60% GES d’ici 2030, neutralité 2050)."
16,Cologny,6617,6024,3.67,1641.0,Genève,Non,"Pas de plan communal. Cologny, commune résidentielle, a mis l’accent sur l’efficacité énergétique des bâtiments : elle exige des nouvelles constructions privées le standard HPE (Haute Performance Énergétique) et a rénové la Mairie et un groupe scolaire avec une isolation de pointe et des pompes à chaleur. La commune a obtenu en 2022 le financement participatif d’un parc solaire citoyen installé sur les toits d’un centre sportif, dont l’électricité alimente une partie de l’éclairage public communal. Par ailleurs, Cologny collabore avec les Transports Publics Genevois pour améliorer la desserte en bus électrique de ses quartiers. Ces actions locales s’inscrivent dans le cadre du Plan climat cantonal pour 2030–2050"
17,Confignon,6618,4552,2.77,1643.0,Genève,Non (stratégie énergie-climat),"Confignon est très engagée : labellisée Cité de l’énergie GOLD en 2014 et 2018 , elle a adopté une stratégie climatique communale. La commune vise une société à 2000 Watts et a fixé des cibles d’ici 2030 cohérentes avec le canton : –50_% d’émissions de GES (par rapport à 2012), –30_% de consommation d’énergie primaire et –55_% d’énergies fossiles . Pour ce faire, Confignon a mis en place un plan d’actions comprenant l’amélioration de l’efficacité énergétique de ses bâtiments (plusieurs toitures équipées de panneaux solaires, isolation renforcée des écoles), la densification autour des transports publics pour limiter la voiture, et la protection des écosystèmes locaux (corridors verts préservés). Ainsi, sans plan climat isolé, Confignon opère une politique alignée sur le Plan climat cantonal"
18,Corsier,6619,2282,2.74,833.0,Genève,Non,"Pas de PECC. Corsier, commune sur les rives du Léman, axe ses efforts sur la préservation du climat local et du lac. Avec les communes voisines, Corsier participe au projet GeniLac (développement d’un réseau thermique alimenté par l’eau du lac) permettant à des bâtiments de se chauffer et refroidir sans émissions carbone. La commune a également acquis un bus scolaire électrique partagé avec Anières pour transporter les élèves sans pollution atmosphérique. En matière d’urbanisme, Corsier impose des quotas de surfaces végétalisées et de plantations d’arbres lors de nouvelles constructions afin de limiter l’effet de chaleur. Ces mesures communales soutiennent la trajectoire cantonale de neutralité carbone d’ici 2050"
19,Dardagny,6620,1853,8.6,215.0,Genève,Non,"Pas de plan climat communal. Dardagny, commune viticole du Mandement, promeut une gestion durable de ses vignobles : elle encourage les viticulteurs à obtenir le label Vinatura (production avec moins de produits phytosanitaires, réduisant l’empreinte écologique). La commune a installé une microcentrale solairesur le toit de sa nouvelle salle polyvalente et alimente en électricité une borne de recharge mise à disposition des habitants. Un projet de parc agro-photovoltaïque (panneaux solaires surplombant des cultures) est à l’étude sur une friche communale, afin de produire de l’énergie propre tout en maintenant une activité agricole. Ces initiatives locales contribuent aux objectifs du Plan climat cantonal"
20,Genève,6621,206635,15.93,12971.0,Genève,Oui (stratégie climat 2022),"Mobilité/transport : Plan climat comprenant ~80 mesures (30 objectifs) dans 9 axes stratégiques, notamment pour développer la mobilité douce et les transports publics, réduire la circulation motorisée et promouvoir les véhicules propres . Bâtiments/énergie : Rénovation énergétique accélérée du parc bâti municipal, optimisation technique des bâtiments, augmentation de la production d’énergies renouvelables locales. Agriculture/alimentation : Promotion d’une alimentation bas-carbone, circuits courts et agriculture urbaine pour réduire l’empreinte des habitants . Autres secteurs : Mesures d’adaptation (lutte contre les îlots de chaleur urbains, protection de la biodiversité) et sensibilisation de la population."
21,Genthod,6622,2896,2.87,1009.0,Genève,Non,"Genthod n’a pas établi de plan climat séparé. La commune mise sur son label Cité de l’énergie (certifiée récemment) pour structurer son action. Elle a notamment participé au programme cantonal Eco21en organisant des visites énergétiques gratuites de villas genthodoises pour réduire le gaspillage d’électricité et de chaleur. Genthod a aussi transformé sa flotte de véhicules communaux (service voirie) en électrique ou au biogaz, diminuant les émissions. Sur le plan agricole, la commune soutient le maintien d’une ceinture verte maraîchère sur son territoire, favorisant les circuits courts et réduisant les transports. Ainsi, Genthod contribue aux engagements climatiques cantonaux (–60% GES en 2030, neutralité 2050)"
22,Gy,6624,550,3.28,168.0,Genève,Non,"Pas de PECC. Gy, plus petite commune du canton, agit à son échelle : elle a installé des capteurs et minuteries pour réduire l’éclairage public nocturne dans les rues du village, préservant à la fois le ciel étoilé et l’énergie. La commune encourage le compostage domestique (distribution de composteurs aux habitants) pour réduire les déchets incinérés. En été, Gy sensibilise aux économies d’eau (affichage d’alertes sécheresse et promotion du paillage dans les jardins). Bien que modestes, ces efforts environnementaux locaux participent à la réalisation des objectifs cantonaux de baisse des émissions et d’adaptation au changement climatique"
23,Hermance,6625,1236,1.44,858.0,Genève,Non,"Pas de plan communal. Hermance, village patrimonial au bord du lac, privilégie la mobilité douce touristique pour limiter la circulation : elle a créé une zone piétonne et un parking dissuasif à l’entrée du bourg pour inciter les visiteurs à se déplacer à pied, réduisant nuisances et CO_. La commune a par ailleurs rénové son réseau d’éclairage public en adoptant des LED à intensité variable (baisse en milieu de nuit) afin d’économiser ~40% d’électricité. Hermance valorise aussi l’énergie solaire : les toitures de son école et d’un bâtiment communal arborent des panneaux photovoltaïques couvrant une partie des besoins en électricité de la collectivité. Ces actions locales vont dans le sens du Plan climat cantonal genevois"
24,Jussy,6626,1173,11.35,103.0,Genève,Non,"Jussy, commune agricole sans plan climat dédié, participe activement au projet Agro-écologique Genève qui vise une réduction des émissions dans l’agriculture (diminution des engrais azotés, plantation de haies pour stocker du carbone et protéger la biodiversité). La commune a converti le chauffage de son école villageoise du fioul au pellet de bois local, éliminant plusieurs tonnes de CO_ par an. Jussy encourage également le télétravail et la numérisation des services communaux (réduction des déplacements domicile-travail pour les employés communaux). Ces mesures soutiennent l’atteinte des cibles climatiques cantonales d’ici 2030 et 2050"
25,Laconnex,6627,670,3.83,175.0,Genève,Non,"Pas de PECC. Laconnex a mis en place des actions concrètes via son Agenda 21 local : promotion du compostage de quartier (aire de compost partagée pour les habitants), organisation d’une journée annuelle “Mobilité douce” où les habitants sont incités à tester vélos électriques et trottinettes pour leurs trajets, et installation d’une citerne de récupération d’eau de pluie pour l’arrosage des espaces verts communaux. La commune a également adhéré à la Charte cantonale “Objectif zéro pesticide” pour ses espaces publics, protégeant la biodiversité et les sols. Autant d’initiatives qui, bien qu’à petite échelle, participent aux objectifs du Plan climat cantonal de réduire fortement les émissions et de renforcer la résilience climatique"
26,Lancy,6628,36229,4.77,7595.0,Genève,Oui (plan climat lancéen 2024),"Transport/mobilité : Mesures pour encourager les transports publics et actifs, réduction du trafic motorisé et plantation d’arbres pour adapter l’espace public . Bâtiments/énergie : 29 mesures de réduction des émissions, incluant rénovation des bâtiments communaux, construction durable et amélioration de l’efficacité énergétique . Autres secteurs : 8 mesures d’adaptation du territoire aux impacts climatiques (lutte contre les îlots de chaleur, gestion de l’eau, etc.) et exemplarité de l’administration. Au total 37 mesures couvrant énergie, construction durable, mobilité, consommation et aménagement du territoire"
27,Le Grand-Saconnex,6623,12806,4.38,2924.0,Genève,Non,"Pas de plan climat communal à ce jour. Le Grand-Saconnex s’engage néanmoins via des actions ciblées. Membre du groupement intercommunal Commune-Rénove depuis 2023 , la commune accompagne techniquement les propriétaires privés dans la rénovation énergétique de leurs immeubles (isolation, chauffage renouvelable). Sur son territoire, qui inclut une partie de l’aéroport, Le Grand-Saconnex a adopté un plan d’assainissement du bruit et de la qualité de l’air (en lien avec les partenaires cantonaux et aéroportuaires) afin de réduire les nuisances et émissions autour des zones résidentielles. La commune a également déployé un réseau de chauffage à distance alimenté par l’usine de valorisation des déchets (CAD Verde) pour chauffer plusieurs quartiers neufs sans énergie fossile. Ces efforts s’inscrivent dans le cadre du Plan climat cantonal visant la neutralité en 2050"
28,Meinier,6629,2079,6.96,299.0,Genève,Non,"Meinier (commune rurale) n’a pas de plan climat formel, mais contribue par des mesures concrètes. La commune a équipé son école et sa mairie de solaires thermiques sur toiture, couvrant la majorité des besoins en eau chaude sanitaire sans recours aux énergies fossiles en été. Elle soutient l’agroforesterie locale : un projet pilote de plantation d’arbres au milieu des champs de céréales a été lancé sur des terres communales, pour stocker du carbone tout en protégeant les cultures des extrêmes climatiques. Meinier participe également au Concours cantonal du développement durable en soutenant des initiatives citoyennes (jardins partagés, ateliers de réparation) pour réduire déchets et émissions. Autant d’actions cohérentes avec les objectifs cantonaux 2030–2050"
29,Meyrin,6630,26882,9.94,2704.0,Genève,Non (plan directeur énergie),"Meyrin a été la 1__ Cité de l’énergie du canton (labellisée dès 2002, GOLD en 2014) . Pionnière, elle dispose d’un Plan directeur de l’énergie (PDE) depuis 2011, mis à jour pour 2020–2030, qui identifie les mesures nécessaires pour atteindre les objectifs fixés . Parmi les actions phares : isolation thermique massive du parc immobilier (les grands immeubles des années 1960 de la cité satellite sont progressivement rénovés), recours accru à l’énergie solaire photovoltaïque et à la géothermie, extension des réseaux de chaleur sans énergies fossiles et optimisation des équipements pour réduire les consommations . Meyrin a par ailleurs déclaré l’urgence climatique en 2021 et adopté la Charte pour le climat des villes, confirmant son engagement aligné sur –60% d’émissions en 2030 . L’ensemble de ces efforts place Meyrin en ligne avec les cibles cantonales de neutralité carbone"
30,Onex,6631,18886,2.82,6697.0,Genève,Non,"Pas de PECC, mais Onex s’illustre par diverses actions climatiques. La commune a déclaré l’urgence climatique et ratifié la Charte des villes pour le climat en 2020, s’engageant ainsi aux objectifs cantonaux. Elle a mis en place plusieurs prestations pour ses habitants : distribution gratuite d’une “Petite poubelle verte” pour le compost de cuisine (réduction des déchets incinérés) , création d’une Recyclerie communale où les objets peuvent être donnés et réutilisés localement , et lancement d’un fonds Onex À-venir soutenant financièrement les projets locaux de transition énergétique ou de mobilité douce. Onex a également un plan de mobilité interne à l’administration (véhicules électriques municipaux, incitations au télétravail). Sans plan unique, ces multiples mesures concrètes rapprochent la commune des objectifs –60% GES en 2030 et neutralité 2050 du canton"
31,Perly-Certoux,6632,3194,2.53,1262.0,Genève,Non,"Pas de plan énergie-climat. Perly-Certoux, en périphérie urbaine, agit pour une mobilité soutenable : la commune a cofinancé avec le canton une nouvelle voie cyclable sécurisée reliant son centre au tramway genevois voisin, afin d’inciter les habitants à laisser la voiture pour les trajets pendulaires. Elle a également rejoint en 2022 le programme Eco21 pour bénéficier d’un conseiller énergétique communal qui aide à identifier des économies d’énergie dans les bâtiments (optimisation des chauffages, éclairage LED généralisé dans les édifices communaux). Perly-Certoux valorise par ailleurs une agriculture urbaine : un jardin potager communal, géré avec une association locale, permet aux habitants de produire localement, réduisant les importations et sensibilisant aux enjeux climatiques. Ces actions participent à l’effort du canton pour atteindre 60% de réduction d’émissions en 2030"
32,Plan-les-Ouates,6633,12221,5.86,2085.0,Genève,Non (démarche climat active),"Plan-les-Ouates est très active bien qu’elle n’ait formellement adopté son plan climat qu’en 2025. Labellisée Cité de l’énergie GOLD (80,6% des mesures réalisées) , la commune a préparé le terrain avec un ensemble d’actions. Face aux canicules, elle a élaboré une stratégie d’arborisation urbaine visant à augmenter significativement la canopée (+20% d’arbres en zone bâtie d’ici 2030) afin de rafraîchir les quartiers. Elle a aussi installé des brumisateurs dans les cours d’école pour protéger les enfants lors des pics de chaleur . Côté énergie, Plan-les-Ouates subventionne fortement les renouvelables (panneaux solaires sur les toits d’usines dans sa zone industrielle pionnière en solaire ) et a développé une centrale de mobilité partagée (Centrale Mobilité) pour ses entreprises . En l’absence de PECC formel jusqu’en 2024, ces actions démontrent l’engagement communal aligné sur la trajectoire cantonale 2030–2050"
33,Pregny-Chambésy,6634,4035,3.24,1245.0,Genève,Non,"Pas de plan formel. Pregny-Chambésy s’implique néanmoins en faveur du climat : la commune abrite sur son territoire des organisations internationales et collabore avec elles pour réduire l’empreinte carbone de leurs sites (par ex. cofinancement d’une centrale solaire sur le toit du HCR). La commune a de son côté modernisé ses installations : la piscine communale est chauffée grâce à des capteurs solaires thermiques, et le collège de Chambésy est désormais alimenté par une chaufferie au bois local, remplacant d’anciennes chaudières gaz. Pregny-Chambésy participe également à la campagne cantonale OptiMob pour optimiser les plans de mobilité des entreprises et institutions (stimulant le covoiturage et la venue en vélo des employés). Ces efforts conjoints concourent aux buts du Plan climat cantonal genevois"
34,Presinge,6635,726,4.72,154.0,Genève,Non,"Pas de PECC. Presinge, petite commune agricole, mise sur la séquestration carbone dans ses sols : elle a lancé un projet pilote avec l’HEPIA pour tester l’incorporation de biochar (charbon végétal) dans les terres agricoles locales, afin d’améliorer les sols tout en stockant du CO_ sur le long terme. La commune a aussi rejoint l’initiative “Vergers durables” en plantant des variétés d’arbres fruitiers haute-tige sur des terrains communaux, renforçant la biodiversité et la résilience climatique. Sur le plan énergétique, Presinge a converti l’éclairage de son église historique en LED basse consommation, et équipe progressivement les bâtiments publics de panneaux solaires discrets. Ces actions innovantes, sans plan global, contribuent aux efforts cantonaux de neutralité carbone d’ici 2050"
35,Puplinge,6636,2558,2.66,962.0,Genève,Non,"Pas de plan climat communal. Puplinge s’est investie dans la démarche Agenda 21 dès les années 2000 et continue à porter des projets concrets. Elle a par exemple mis en place un système de récupération de chaleur à la déchetterie communale : la chaleur dégagée par le conteneur à déchets organiques en décomposition est captée et sert à tempérer un local adjacent (expérience pilote). La commune encourage la mobilité scolaire durable via un pédibus (ramassage pédestre des écoliers) actif sur plusieurs hameaux, réduisant les trajets en voiture des parents. De plus, Puplinge collabore avec le canton pour la renaturation d’un tronçon du Foron (rivière frontalière) afin de créer une zone humide tampon contre les crues et favorable à la biodiversité. Toutes ces actions locales s’inscrivent dans la droite ligne du Plan climat cantonal genevois"
36,Russin,6637,524,4.91,107.0,Genève,Non,"Pas de PECC. Russin, commune viticole du Mandement, contribue par une approche innovante à la transition énergétique cantonale : une centrale solaire villageoise a été inaugurée en 2022, résultat d’une coopérative de citoyens russinois qui ont installé des panneaux solaires sur plusieurs toits agricoles, produisant de l’électricité équivalente à la consommation de 50 ménages. La commune encourage ce modèle participatif et a facilité les démarches administratives. Par ailleurs, Russin valorise l’atout ferroviaire : elle promeut activement le Léman Express auprès de ses habitants (gare de La Plaine) pour les trajets domicile-travail afin de réduire les émissions liées aux voitures. En zone agricole, des mesures agro-écologiques (bandes fleuries, réduction des labours profonds) ont été adoptées en partenariat avec les agriculteurs pour stocker plus de carbone. Sans plan formalisé, Russin s’aligne ainsi sur les objectifs cantonaux climat-énergie"
37,Satigny,6638,4577,18.92,242.0,Genève,Non,"Satigny, plus vaste commune viticole du canton, ne dispose pas de plan climat dédié mais d’une politique énergétique exemplaire. Labellisée Cité de l’énergie depuis 2011 , Satigny a développé le concept de “Cité solaire” dans un nouveau lotissement : les habitations y sont équipées de panneaux solaires et de pompes à chaleur géothermiques, couvrant la majorité de leurs besoins énergétiques . La commune étend également son réseau de chauffage à distance (CAD) en partenariat avec les SIG, alimenté par une centrale à bois et par l’usine des Cheneviers, afin de chauffer son école et des immeubles sans combustibles fossiles . Enfin, Satigny a rénové son éclairage public et installé des lampadaires LED avec détecteurs de mouvement dans les hameaux, réduisant sa consommation électrique de 60%. Grâce à ces mesures, Satigny contribue fortement aux objectifs climatiques cantonaux 2030/2050."
38,Soral,6639,961,2.95,326.0,Genève,Non,"Pas de plan. Soral, commune viticole, mise sur la proximité pour le climat : elle a favorisé la vente directe à la ferme et les marchés villageois de producteurs, limitant les transports de denrées et sensibilisant à la consommation locale. La commune a également mutualisé avec deux communes voisines l’achat d’une chaudière mobile à bois déchiqueté qui, installée à tour de rôle dans différents bâtiments publics (salles communales, écoles), fournit une chaleur renouvelable et neutre en CO_ en remplacement des chauffages fossiles vieillissants. Côté mobilité, Soral participe à un projet pilote de bus électrique rural à la demande qui dessert plusieurs villages de la campagne genevoise, offrant une alternative à la voiture individuelle. Ces initiatives, sans plan global, s’intègrent aux actions du Plan climat cantonal genevois pour 2030–2050"
39,Thônex,6640,16690,3.84,4346.0,Genève,Non,"Thônex est certifiée Cité de l’énergie depuis 2010 (71% des mesures réalisées en 2023, objectif GOLD en 2027 ). Sans plan climat unique, la commune multiplie les actions sectorielles : adoption d’un plan directeur de l’énergie interne, rénovation de ses bâtiments (isolation de l’hôtel de ville et écoles, installation de panneaux solaires sur le centre sportif), et participation active au programme Renowave (mise en réseau des communes pour la rénovation durable) . En mobilité, Thônex a mis en place un système de partage de vélos électriques subventionné pour les résidents et développe des itinéraires cyclables continus vers le centre de Genève. Sur le plan de la sensibilisation, la commune organise chaque année une Semaine du développement durable avec ateliers (tri des déchets, zéro déchet, économies d’énergie). Ces efforts s’inscrivent pleinement dans la stratégie cantonale climat (-60% GES 2030, neutralité 2050)"
40,Troinex,6641,2858,3.42,836.0,Genève,Non,"Pas de plan communal. Troinex a adopté une approche intercommunale en matière de climat : elle est membre de l’Association des communes genevoises pour l’énergie et travaille avec ses voisines sur des projets communs (ex_: étude de faisabilité d’un réseau de chauffage à distance régional Sud-Genève alimenté par l’usine d’incinération des déchets). Au niveau local, Troinex a modernisé ses chaufferies communales : la mairie et la salle polyvalente sont désormais chauffées par des pompes à chaleur géothermiques, supprimant l’usage du gaz propane. La commune encourage également les jardins potagers chez les particuliers (concours communal du jardin durable) pour sensibiliser à l’alimentation locale et à la biodiversité. Ces diverses actions replacent Troinex dans la dynamique du Plan climat cantonal (neutralité carbone à 2050)"
41,Vandœuvres,6642,2958,4.41,671.0,Genève,Non,"Vandœuvres, sans plan climat dédié, mise sur son image de «commune verte». Elle a récemment obtenu le label “Commune nature” du canton pour ses efforts de gestion écologique : zéro pesticide sur les espaces publics, fauchage tardif des prairies, et création d’un corridor biologique le long de la Seymaz pour favoriser la faune. Sur le volet énergie, Vandœuvres encourage la production solaire privée en accordant un bonus fiscal communal aux propriétaires qui équipent leurs toits de panneaux photovoltaïques (en sus des subventions cantonales). La commune a aussi installé des composteurs collectifs de quartier pour réduire les déchets organiques. Bien qu’individuelles, ces mesures s’inscrivent dans la poursuite des objectifs généraux du Plan climat cantonal d’ici 2030 et 2050"
42,Vernier,6643,37460,7.68,4878.0,Genève,Non,"Vernier a été la 1__ commune genevoise labellisée Cité de l’énergie GOLD (dès 2009) . Dotée d’une politique énergétique ambitieuse, elle a mis en place un Observatoire du développement durabledès 2003 pour suivre ses progrès . Vernier agit sur plusieurs fronts : mobilité – subventions à l’achat de vélos électriques, semaine de la mobilité avec offres sur les abonnements TPG, création de nouvelles pistes cyclables et zones 30  ; bâtiments/énergie – thermographie aérienne de tout le territoire pour détecter les déperditions thermiques, rénovations énergétiques des bâtiments communaux, remplacement des anciens luminaires par des LED économes  ; administration exemplaire – plan de mobilité pour les employés communaux, suivi annuel de la consommation d’énergie du parc immobilier communal et formation du personnel à la durabilité . Grâce à ces mesures cohérentes, Vernier maintient un taux de réalisation élevé des actions (audit Cité de l’énergie tous les 4 ans) et contribue largement aux cibles cantonales (–60% GES d’ici 2030, neutralité 2050)"
